1,192.168.31.39,192.168.31.57,192.168.31.44
2,192.168.31.71,192.168.31.85,192.168.31.84
3,192.168.31.126,192.168.31.116,192.168.31.104
4,192.168.31.148,192.168.31.145,192.168.31.158
5,192.168.32.48,192.168.32.50,192.168.32.43
6,192.168.32.75,192.168.32.90,192.168.32.85
7,192.168.32.123,192.168.32.119,192.168.32.126
8,192.168.32.155,192.168.32.152,192.168.32.133
9,192.168.33.42,192.168.33.48,192.168.33.38
10,192.168.33.79,192.168.33.73,192.168.33.82
11,192.168.33.99,192.168.33.120,192.168.33.101
12,192.168.33.140,192.168.33.145,192.168.33.157
13,192.168.34.42,192.168.34.41,192.168.34.50
14,192.168.34.84,192.168.34.69,192.168.34.83
15,192.168.34.124,192.168.34.103,192.168.34.106
16,192.168.34.157,192.168.34.133,192.168.34.137
17,192.168.35.50,192.168.35.39,192.168.35.49
18,192.168.35.90,192.168.35.81,192.168.35.68
19,192.168.35.114,192.168.35.124,192.168.35.108
20,192.168.35.135,192.168.35.147,192.168.35.150
21,192.168.36.54,192.168.36.44,192.168.36.48
22,192.168.36.66,192.168.36.73,192.168.36.92
23,192.168.36.122,192.168.36.110,192.168.36.109
24,192.168.36.137,192.168.36.134,192.168.36.149
25,192.168.37.59,192.168.37.49,192.168.37.60
